file,psnr_ours_vs_official,ssim_ours_vs_official,mae_ours_vs_official,psnr_ours_vs_original,ssim_ours_vs_original,mae_ours_vs_original,psnr_official_vs_original,ssim_official_vs_original,mae_official_vs_original
DICM/55.jpg,13.34725835764102,0.75486964,0.2010020613670349,37.40552073974416,0.96589214,0.0099192438647151,13.13010211666202,0.7411843,0.20634637773036957
DICM/56.jpg,12.442806864468292,0.7039542,0.2232184261083603,32.331096894125935,0.9410836,0.01780618540942669,12.245279530533924,0.6887005,0.2286500632762909
DICM/57.jpg,16.172226852057484,0.87099457,0.11767538636922836,37.82361675229194,0.9625507,0.00838502123951912,15.922078142260629,0.8529582,0.12178682535886765
DICM/58.jpg,15.015331243313717,0.8217652,0.1414218246936798,37.625473594224516,0.9494109,0.008802786469459534,14.79574908198444,0.7924931,0.14619453251361847
DICM/60.jpg,13.17923425722311,0.65930814,0.2068796455860138,34.79878964903614,0.96051615,0.013262725435197353,12.98533165876938,0.638206,0.2115858495235443
DICM/61.jpg,12.805953867779996,0.55310917,0.20733675360679626,32.63969793573963,0.93483037,0.016067001968622208,12.692893476679961,0.5505685,0.21074241399765015
DICM/62.jpg,12.084038650792156,0.79321474,0.23325759172439575,39.59439364942124,0.9762482,0.008029039017856121,11.866226523486285,0.781413,0.23974479734897614
DICM/63.jpg,18.067486726047896,0.94722587,0.11568469554185867,35.21540734012638,0.9739868,0.013281774707138538,17.54804590273387,0.9333083,0.12247001379728317
DICM/64.jpg,14.359931894628152,0.85843855,0.16913466155529022,36.60869372898955,0.9713526,0.010623762384057045,14.065614123005833,0.8453626,0.17536042630672455
DICM/65.jpg,12.586275229823896,0.5878499,0.20627112686634064,34.64432546783986,0.9544044,0.012287367135286331,12.439991102131444,0.5789226,0.21018977463245392
DICM/66.jpg,17.34044158299596,0.924525,0.08547873795032501,39.0109803567016,0.9787867,0.0061285169795155525,17.038643345069723,0.91623443,0.0884253978729248
DICM/67.jpg,15.187217430865953,0.8536269,0.16041529178619385,36.501274334838,0.96664053,0.010427628643810749,14.901130623423287,0.8399274,0.16649940609931946
DICM/69.jpg,14.123979163159046,0.86163074,0.186191588640213,36.699909135630946,0.9671011,0.011254286393523216,13.810245633529552,0.84370905,0.19330672919750214
LIME/1.bmp,12.723740507418979,0.4331986,0.2049921303987503,48.63239915621908,0.9994553,0.0023351835552603006,12.621146809509597,0.42594,0.20732730627059937
LIME/10.bmp,12.504480409534196,0.2763624,0.21075575053691864,49.438461912430924,0.9990786,0.002017515478655696,12.406399900221706,0.26765856,0.21277320384979248
LIME/2.bmp,12.137512792493485,0.47477117,0.22235369682312012,45.758359833469335,0.99916774,0.003737477818503976,11.992123968637632,0.4640987,0.2260911762714386
LIME/3.bmp,10.840695206514868,0.5331347,0.27514535188674927,45.893497094107964,0.99909276,0.004430243279784918,10.701992672951286,0.5191769,0.27957573533058167
LIME/4.bmp,13.99643009512727,0.60483855,0.16247688233852386,46.75606575454141,0.99929696,0.00342390825971961,13.854746135778445,0.59644073,0.1659007966518402
LIME/5.bmp,12.381903931563832,0.52739257,0.2224317044019699,46.8243619221919,0.9991067,0.0035488284192979336,12.243166507710592,0.51535964,0.22598062455654144
LIME/6.bmp,15.492851057228094,0.26748657,0.12975552678108215,52.27640119609209,0.9992984,0.0011484833667054772,15.396916072032818,0.25882217,0.13090400397777557
LIME/7.bmp,10.393874315627977,0.43098697,0.2861100435256958,46.9375716303282,0.9990681,0.0035787036176770926,10.286096825010372,0.42013153,0.28968870639801025
LIME/8.bmp,11.80918927009559,0.38375792,0.2208351492881775,48.52050681696143,0.9992588,0.002562903566285968,11.705568794734676,0.37453327,0.2233981043100357
LIME/9.bmp,16.46924382883622,0.37223163,0.11863460391759872,56.72027911209071,0.9997316,0.0004575396014843136,16.428066648430303,0.3699685,0.11909210681915283
